Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,Texas,2008,2019,849,36.9,27,7.1,4.1,1.1,1.1,0.493,0.532,0.381,0.883,141.7,0.217
2,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State,2010,2020,816,34.3,25,5.3,6.3,1.6,0.5,0.443,0.508,0.364,0.858,131.9,0.226
3,2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson,2010,2020,698,34.3,23.5,4.5,6.6,1.7,0.2,0.476,0.515,0.435,0.905,103.1,0.206
4,2008,NBA,1,4,SEA,Russell Westbrook,19.231,G,us,UCLA,2009,2020,866,34.6,23.2,7.1,8.3,1.7,0.3,0.436,0.468,0.304,0.801,100.5,0.161
5,2007,NBA,1,3,ATL,Al Horford,21.03,C-F,do,Florida,2008,2020,836,32.7,14,8.3,3.3,0.8,1.2,0.52,0.544,0.361,0.753,89.8,0.158
6,2008,NBA,2,35,LAC,DeAndre Jordan,19.345,C,us,Texas A&M,2009,2020,864,27.8,9.5,10.8,0.9,0.6,1.6,0.67,0.671,0.091,0.473,87.6,0.175
7,2007,NBA,2,48,LAL,Marc Gasol,22.155,C,es,,2009,2020,830,33.2,14.7,7.6,3.4,0.9,1.4,0.482,0.498,0.356,0.777,82.2,0.143
8,2008,NBA,1,5,MEM,Kevin Love,19.297,F,us,UCLA,2009,2020,703,32,18.2,11.2,2.4,0.7,0.5,0.443,0.48,0.371,0.828,81.3,0.174
9,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,Kentucky,2013,2020,512,34.6,24,10.4,2.2,1.4,2.4,0.517,0.536,0.315,0.801,80.8,0.219
10,2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State,2013,2020,603,36.3,24.1,4.2,6.5,1,0.3,0.436,0.484,0.371,0.889,79.6,0.174
11,2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,Oklahoma,2011,2020,622,34.8,21.7,8.8,4.4,0.9,0.5,0.498,0.521,0.333,0.694,75.3,0.167
12,2011,NBA,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette,2012,2020,569,33.1,17,5.1,3.7,1.6,0.5,0.454,0.487,0.334,0.835,73.6,0.188
13,2007,NBA,1,4,MEM,Mike Conley,19.265,G,us,Ohio State,2008,2020,820,32.4,14.8,3,5.7,1.4,0.2,0.439,0.468,0.375,0.818,72.8,0.131
14,2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State,2012,2020,509,31,18.4,6.4,2.6,1.8,0.7,0.491,0.533,0.382,0.854,71.7,0.218
15,2010,NBA,1,10,IND,Paul George,20.058,F,us,Fresno State,2011,2020,638,33.6,19.9,6.4,3.3,1.7,0.4,0.433,0.47,0.379,0.847,68.2,0.153
16,2008,NBA,1,24,SEA,Serge Ibaka,18.286,F-C,cg,,2010,2020,797,28.6,12.6,7.3,0.8,0.4,2.1,0.515,0.548,0.361,0.759,67.4,0.142
17,2009,NBA,1,9,TOR,DeMar DeRozan,19.327,G-F,us,USC,2010,2020,804,34.2,20.1,4.3,3.5,1,0.3,0.457,0.475,0.283,0.829,65.9,0.115
18,2008,NBA,1,26,SAS,George Hill,22.059,G,us,IUPUI,2009,2020,770,27.8,11.2,3.1,3.2,0.9,0.3,0.457,0.499,0.385,0.802,64.3,0.144
19,2008,NBA,1,10,NJN,Brook Lopez,20.091,C,us,Stanford,2009,2020,769,30.6,16.9,6.4,1.5,0.6,1.8,0.495,0.522,0.339,0.792,64.1,0.13
20,2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,gr,,2014,2020,513,32.6,19.8,8.8,4.3,1.2,1.3,0.525,0.565,0.285,0.723,62.1,0.179
21,2007,NBA,1,9,CHI,Joakim Noah,22.128,C,us,Florida,2008,2019,667,27.9,8.8,9.1,2.8,0.8,1.3,0.491,0.493,0,0.7,61.8,0.16
22,2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,fr,,2014,2020,458,29.4,11.6,11,1.4,0.7,2.2,0.637,0.638,0,0.628,61.6,0.22
23,2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke,2012,2020,528,33.8,22.4,3.7,5.7,1.3,0.4,0.466,0.499,0.39,0.877,61.4,0.165
24,2007,NBA,1,12,PHI,Thaddeus Young,19.011,F,us,Georgia Tech,2008,2020,955,30.4,13.2,5.9,1.7,1.4,0.4,0.498,0.523,0.33,0.67,60.8,0.101
25,2012,NBA,1,9,DET,Andre Drummond,18.327,C,us,UConn,2013,2020,593,31.1,14.4,13.9,1.3,1.4,1.6,0.541,0.547,0.14,0.46,60.6,0.158
26,2008,NBA,1,6,NYK,Danilo Gallinari,19.327,F,it,,2009,2020,596,31,16.2,4.9,2.1,0.8,0.4,0.427,0.466,0.38,0.873,55.6,0.144
27,2008,NBA,1,25,HOU,Nicolas Batum,19.199,F-G,fr,,2009,2020,789,31.3,11.6,5.2,3.8,0.9,0.6,0.434,0.503,0.357,0.841,54.7,0.106
28,2011,NBA,1,9,CHA,Kemba Walker,21.051,G,us,UConn,2012,2020,651,33.9,20,3.8,5.4,1.3,0.4,0.419,0.453,0.361,0.837,54.1,0.117
29,2008,NBA,2,45,SAS,Goran Dragi_,22.057,G,si,,2009,2020,801,28,13.9,3,4.8,1,0.2,0.465,0.507,0.365,0.762,53.5,0.114
30,2010,NBA,1,3,NJN,Derrick Favors,18.349,F-C,us,Georgia Tech,2011,2020,668,25.6,11.5,7.3,1.1,0.8,1.3,0.529,0.539,0.209,0.663,52.4,0.147
31,2010,NBA,1,9,UTA,Gordon Hayward,20.098,F-G,us,Butler,2011,2020,626,30.8,15.2,4.3,3.4,1,0.4,0.45,0.488,0.366,0.823,52.2,0.13
32,2009,NBA,1,26,CHI,Taj Gibson,24.007,F,us,USC,2010,2020,789,25.3,9.6,6.3,1,0.6,1.1,0.514,0.52,0.217,0.709,51.8,0.125
33,2009,NBA,1,19,ATL,Jeff Teague,21.02,G,us,Wake Forest,2010,2020,760,27.6,12.6,2.5,5.8,1.2,0.3,0.445,0.473,0.356,0.844,50.7,0.116
34,2015,NBA,1,1,MIN,Karl-Anthony Towns,19.227,C-F,us,Kentucky,2016,2020,358,34.4,22.7,11.8,2.8,0.8,1.5,0.534,0.573,0.396,0.831,50.7,0.198
35,2011,NBA,1,5,TOR,Jonas Valan_i_nas,19.052,C,lt,,2013,2020,540,25.2,12.3,8.7,0.9,0.4,1.1,0.562,0.57,0.364,0.781,50.1,0.176
36,2009,NBA,1,21,NOH,Darren Collison,21.312,G,us,UCLA,2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,0.115
37,2010,NBA,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059,0.704,49.7,0.136
38,2014,NBA,2,41,DEN,Nikola Joki_,19.132,C-F,rs,,2016,2020,363,28.9,16.9,9.7,5.4,1.1,0.7,0.522,0.572,0.342,0.825,46.9,0.214
39,2011,NBA,1,11,GSW,Klay Thompson,21.14,G-F,us,Washington State,2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,0.459,0.491,0.419,0.848,46.8,0.11
40,2008,NBA,1,21,NJN,Ryan Anderson,20.056,F,us,California,2009,2020,649,25.8,12.3,5.3,0.9,0.5,0.3,0.422,0.47,0.38,0.854,46.7,0.134
41,2011,NBA,1,16,PHI,Nikola Vu_evi_,20.247,C,ch,USC,2012,2020,580,30.2,15.9,10.2,2.5,0.9,0.9,0.498,0.515,0.336,0.744,46.1,0.126
42,2011,NBA,2,60,SAC,Isaiah Thomas,22.141,G,us,Washington,2012,2020,525,28.9,18.1,2.5,5,0.9,0.1,0.436,0.482,0.364,0.872,45.3,0.143
43,2012,NBA,2,35,GSW,Draymond Green,22.122,F,us,Michigan State,2013,2020,574,28.2,9,6.9,5,1.4,1.1,0.435,0.506,0.32,0.71,44.5,0.132
44,2008,NBA,1,15,PHO,Robin Lopez,20.091,C,us,Stanford,2009,2020,816,22.5,8.8,5.1,0.8,0.2,1.2,0.529,0.535,0.254,0.751,44.3,0.116
45,2010,NBA,1,1,WAS,John Wall,19.296,G,us,Kentucky,2011,2019,573,35.9,19,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.781,44.3,0.104
46,2008,NBA,1,9,CHA,D.J. Augustin,20.234,G,us,Texas,2009,2020,846,24.2,9.9,1.9,4,0.6,0,0.412,0.438,0.38,0.864,44.2,0.104
47,2011,NBA,1,19,CHA,Tobias Harris,18.347,F,us,Tennessee,2012,2020,601,30.7,15.8,6,2,0.7,0.5,0.471,0.513,0.364,0.82,44.2,0.115
48,2010,NBA,1,5,SAC,DeMarcus Cousins,19.32,C-F,us,Kentucky,2011,2019,565,32,21.2,10.9,3.2,1.4,1.2,0.461,0.477,0.332,0.737,44.1,0.117
49,2013,NBA,1,12,OKC,Steven Adams,19.347,C,nz,Pitt,2014,2020,516,26.8,9.8,7.6,1.2,0.9,1,0.588,0.589,0.1,0.557,43.7,0.152
50,2010,NBA,2,33,SAC,Hassan Whiteside,21.016,C,us,Marshall,2011,2020,394,26.6,13.7,11.7,0.7,0.6,2.4,0.579,0.581,0.273,0.608,43.5,0.199
51,2011,NBA,1,3,UTA,Enes Kanter,19.038,C,ch,,2012,2020,625,22,11.7,7.6,0.9,0.4,0.5,0.543,0.55,0.287,0.776,43.2,0.151
52,2007,NBA,1,22,CHA,Jared Dudley,21.358,F-G,us,Boston College,2008,2020,883,22.6,7.5,3.2,1.6,0.8,0.2,0.464,0.517,0.394,0.732,42.7,0.103
53,2011,NBA,1,4,CLE,Tristan Thompson,20.107,F-C,ca,Texas,2012,2020,612,28.1,9.4,8.7,1,0.5,0.7,0.518,0.519,0.304,0.612,42.7,0.119
54,2009,NBA,1,18,MIN,Ty Lawson,21.24,G,us,UNC,2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126
55,2009,NBA,2,46,CLE,Danny Green,22.009,G-F,us,UNC,2010,2020,672,25.4,9,3.5,1.6,1,0.8,0.424,0.461,0.402,0.81,42.1,0.119
