,name,Total baskets,Total points overall,Total defensive rebounds,Total offensive rebounds,Total assists
0,Maurice Ager,812.0,118,30,5,14
1,Maurice Ager,147.0,139,33,7,14
2,LaMarcus Aldridge,116.0,3385,897,598,303
3,Malik Allen,2278.0,659,231,119,80
4,Malik Allen,537.0,475,189,101,66
5,Ray Allen*,327.0,4161,595,198,671
6,Tony Allen,2797.0,1232,305,91,236
7,Rafer Alston,2343.0,2609,604,82,1094
8,Rafer Alston,2335.0,2405,560,65,984
9,Lou Amundson,174.0,339,147,135,28
10,Lou Amundson,1468.0,355,162,148,29
11,Carmelo Anthony,899.0,5363,985,427,730
12,Gilbert Arenas,3951.0,2383,330,68,529
13,Trevor Ariza,2909.0,1271,411,214,218
14,Trevor Ariza,890.0,1391,451,234,246
15,Hilton Armstrong,983.0,692,303,204,62
16,Chucky Atkins,1032.0,1128,155,21,421
17,Chucky Atkins,841.0,1172,162,26,424
18,Kelenna Azubuike,2486.0,2046,543,245,220
19,Renaldo Balkman,1245.0,822,447,266,118
20,Marcus Banks,68.0,388,60,13,107
21,Marcus Banks,1712.0,360,47,14,91
22,Marcus Banks,896.0,377,67,11,118
23,Marcus Banks,768.0,349,54,12,102
24,Leandro Barbosa,362.0,3720,530,96,695
25,J.J. Barea,2798.0,886,202,47,351
26,Andrea Bargnani,1119.0,2745,787,172,233
27,Matt Barnes,2606.0,2020,831,264,507
28,Brent Barry,1496.0,1064,263,46,270
29,Brandon Bass,56.0,1382,495,262,104
30,Maceo Baston,405.0,246,100,52,26
31,Shane Battier,1849.0,2009,780,250,467
32,Charlie Bell,1313.0,2211,419,120,608
33,Raja Bell,1381.0,2244,486,103,393
34,Raja Bell,2361.0,2619,576,128,477
35,Mike Bibby,1832.0,2782,509,88,855
36,Mike Bibby,2718.0,3043,563,82,995
37,Andris Biedriņš,1673.0,2314,1469,730,284
38,Chauncey Billups,2239.0,2540,393,66,1046
39,Chauncey Billups,2015.0,3890,582,96,1522
40,Steve Blake,2941.0,1569,347,66,845
41,Steve Blake,1040.0,1857,419,73,1085
42,Andray Blatche,2223.0,1537,627,367,249
43,Mark Blount,1196.0,1670,594,215,112
44,Keith Bogans,2178.0,1198,397,73,194
45,Keith Bogans,1221.0,1184,376,74,196
46,Andrew Bogut,2515.0,2350,1186,530,469
47,Matt Bonner,1777.0,1268,520,214,136
48,Josh Boone,1564.0,1087,583,360,96
49,Calvin Booth,118.0,93,86,34,26
50,Calvin Booth,4632.0,109,92,37,26
51,Carlos Boozer,3814.0,3856,1553,543,533
52,Chris Bosh,1706.0,4803,1520,575,537
53,Bruce Bowen,736.0,1207,530,72,248
54,Elton Brand,863.0,2182,696,366,288
55,Ronnie Brewer,1958.0,2285,358,235,337
56,Andre Brown,1596.0,197,108,70,11
57,Devin Brown,992.0,1584,482,151,378
58,Kwame Brown,573.0,720,462,203,135
59,Kwame Brown,336.0,640,399,192,124
60,Shannon Brown,209.0,322,44,19,55
61,Shannon Brown,1855.0,236,45,14,37
62,Shannon Brown,2223.0,226,32,15,38
63,Shannon Brown,611.0,140,33,10,20
64,Kobe Bryant,522.0,6954,1126,259,1253
65,Greg Buckner,577.0,584,276,77,166
66,Caron Butler,175.0,3775,911,358,807
67,Rasual Butler,5864.0,1992,520,107,174
68,Andrew Bynum,1323.0,1811,857,381,226
69,José Calderón,2387.0,2463,493,71,1672
70,Marcus Camby,1315.0,2147,1988,555,609
71,Brian Cardinal,1213.0,441,219,78,129
72,Rodney Carney,1631.0,1332,278,125,84
73,Matt Carroll,1511.0,1728,415,73,188
74,Matt Carroll,579.0,1614,377,70,167
75,Anthony Carter,1094.0,963,341,67,763
76,Vince Carter,1733.0,5354,1055,300,1158
77,Tyson Chandler,609.0,2016,1420,805,169
78,Jarron Collins,5893.0,362,193,131,104
79,Jason Collins,1355.0,286,322,153,76
80,Jason Collins,2236.0,306,328,147,63
81,Mardy Collins,2541.0,400,138,49,182
82,Mardy Collins,2327.0,611,202,76,273
83,Nick Collison,732.0,2141,1221,664,261
84,Brian Cook,1102.0,526,181,71,72
85,Brian Cook,890.0,476,164,66,69
86,Brian Cook,570.0,736,250,91,93
87,Brian Cook,2038.0,686,233,86,90
88,Jamal Crawford,603.0,2900,330,83,705
89,Jamal Crawford,699.0,3748,470,102,897
90,Austin Croshere,3096.0,436,241,73,80
91,Austin Croshere,2062.0,404,230,70,77
92,Eddy Curry,3175.0,2362,544,306,100
93,Samuel Dalembert,2140.0,2266,1526,757,127
94,Erick Dampier,2161.0,1431,1030,640,184
95,Antonio Daniels,1173.0,1234,335,41,677
96,Antonio Daniels,966.0,1402,363,46,760
97,Marquis Daniels,3112.0,1659,370,172,308
98,Baron Davis,125.0,4023,706,193,1633
99,Paul Davis,2735.0,212,84,74,29
100,Ricky Davis,1750.0,2736,610,118,743
101,Luol Deng,3505.0,3300,904,364,453
102,Boris Diaw,1496.0,1617,567,212,715
103,Boris Diaw,449.0,2323,761,282,956
104,Yakhouba Diawara,1204.0,650,178,76,119
105,Travis Diener,770.0,760,184,35,408
106,Ike Diogu,1355.0,318,94,71,15
107,Ike Diogu,420.0,383,114,73,18
108,Ike Diogu,367.0,438,138,104,30
109,Ike Diogu,556.0,503,158,106,33
110,DeSagana Diop,679.0,404,504,322,69
111,DeSagana Diop,604.0,462,517,346,75
112,DeSagana Diop,446.0,314,418,260,57
113,DeSagana Diop,921.0,372,431,284,63
114,Juan Dixon,711.0,904,166,33,265
115,Juan Dixon,1168.0,861,150,30,232
116,Juan Dixon,707.0,702,159,28,224
117,Juan Dixon,1676.0,659,143,25,191
118,Keyon Dooling,3149.0,1850,289,53,515
119,Quincy Douby,2979.0,557,114,31,81
120,Quincy Douby,2698.0,504,96,31,80
121,Chris Duhon,132.0,1823,444,87,1139
122,Tim Duncan,261.0,4557,1876,651,755
123,Mike Dunleavy,3598.0,2282,566,113,449
124,Mike Dunleavy,677.0,2439,619,117,443
125,Monta Ellis,1305.0,3382,546,209,727
126,Francisco Elson,485.0,694,486,214,103
127,Francisco Elson,427.0,616,432,198,95
