attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
249,30,afflaar01,225,108,585,72,Arron Afflalo,2221,74,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],272,75,24,46,Team.DENVER_NUGGETS,724,98,82,138,59,193
0,1,ajincal01,5,0,10,0,Alexis Ajinça,30,2,[<Position.CENTER: 'CENTER'>],5,0,21,1,Team.CHARLOTTE_BOBCATS,10,1,6,0,1,3
16,48,aldrila01,231,5,1169,230,LaMarcus Aldridge,2922,104,[<Position.POWER_FORWARD: 'POWER FORWARD'>],579,78,24,67,Team.PORTLAND_TRAIL_BLAZERS,1393,304,78,160,192,435
1,1,alexajo01,9,0,6,2,Joe Alexander,29,0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1,0,23,1,Team.CHICAGO_BULLS,4,3,8,2,2,3
6,5,allenma01,68,1,116,12,Malik Allen,456,22,[<Position.POWER_FORWARD: 'POWER FORWARD'>],46,3,31,11,Team.DENVER_NUGGETS,105,13,51,16,36,46
399,25,allenra02,182,145,973,231,Ray Allen*,2819,129,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],464,80,34,64,Team.BOSTON_CELTICS,1304,253,80,210,45,208
5,19,allento01,109,0,253,72,Tony Allen,889,66,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],129,8,28,59,Team.BOSTON_CELTICS,330,119,54,72,52,93
87,5,alstora01,50,28,277,44,Rafer Alston,766,61,[<Position.POINT_GUARD: 'POINT GUARD'>],95,13,33,27,Team.NEW_JERSEY_NETS,262,54,27,104,9,66
81,5,alstora01,53,30,169,15,Rafer Alston,655,34,[<Position.POINT_GUARD: 'POINT GUARD'>],60,25,33,23,Team.MIAMI_HEAT,165,27,25,72,4,50
1,73,amundlo01,169,0,276,67,Lou Amundson,1168,57,[<Position.POWER_FORWARD: 'POWER FORWARD'>],152,0,27,24,Team.PHOENIX_SUNS,371,123,79,31,128,218
3,143,anderch01,171,0,251,164,Chris Andersen,1695,59,[<Position.POWER_FORWARD: 'POWER FORWARD'>],142,0,31,42,Team.DENVER_NUGGETS,448,236,76,33,147,336
78,12,anderda03,119,27,340,46,David Andersen,891,37,[<Position.CENTER: 'CENTER'>],147,0,29,15,Team.HOUSTON_ROCKETS,367,67,63,44,54,154
0,0,anderan02,1,0,3,0,Antonio Anderson,15,1,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1,0,24,0,Team.OKLAHOMA_CITY_THUNDER,2,0,1,0,1,0
211,14,anderry01,81,78,388,71,Ryan Anderson,911,56,[<Position.POWER_FORWARD: 'POWER FORWARD'>],169,6,21,25,Team.ORLANDO_MAGIC,487,82,63,37,70,132
